Lemma	Form	POS	Line	Gloss
á-nihst	ánihst	adv	126	at the last
ac	ac	conj	38	but
æfnan	æfnan,	v	141	practice
æfter	æfter	prep	12	after
Ægelmund	Ægelmund	asn	117	Agelmund
ǣht	ǣht	asn	93	possession
Ælfwine	Ælfwine,	dsn	70	Ælfwine
Ænēnas	Ænēnum.	dpn	61	Ænēnas
ærest	ærest	adj	38	first
æt	æt	prep	49	at
Ætla	Ætla	apn	18	Atilla
Ætla	Ætlan	gsn	122	Atilla's
ætsomne	ætsomne	adv	46	together
æþelo	æþele	npn	5	noble
āgan	āhte,	pret.sv	77	possesed
āhebban	āhofan,	pret.pv	104	raised
Alewih	Alewih	nsn	35	Alewih
Alexandreas	Alexandreas	nsn	15	Alexander
ālicgan	ālæg,	pret.sv	119	rest
Amoþingas	Amothingum.	dpn	86	the Amothings
āne	Āne	isn	41	one
ārǽran	ārǽran,	v	140	to heighten
Baningas	Baningum,	dpn	19	the Baningas
Beadeca	Beadecan	asn	112	Beadecan
bēag	bēag	asn	65	necklace
bēag	bēaga,	gpn	74	treasures
bēag	bēag	asn	90	treasure
bearn	bearn	nsn	74	child
Becca	Becca	nsn	19	Becca
Becca	Beccan,	asn	115	Becca
bēon	biþ	pres.v	132	be
beorht	beorhtra	gpadj	74	bright
bī	bī	prep	43	by
bī	be	prep	100	with
bī	bī	prep	105	with
bicuman	bicwom,	pret.sv	94	came
bidǽlan	bidǽled,	ppv	52	deprived of
Billing	Billing	nsn	25	Billing
Breoca	Breoca	nsn	25	Breoca
Brondingas	Brondingum,	dpn	25	Brondings
bryttian	bryttian.	v	102	distribute
Burgendan	Burgendum	dpn	19	the Burgundians
Burgendan	Burgendum,	ipn	65	the Burgundians
burgwaran	burgwarena	gpn	90	townspeople
Cælic	Cælic	nsn	20	Caelic
Casere	Casere	nsn	20	Caesar
Casere	Casere,	dsn	76	Caesar
cnihtwesende	cnihtwesende,	pp	39	being a youth
cnōsl	cnōsle	dsn	52	kindred
Creacas	Creacum	dpn	20	the Greeks
Creacas	Creacum	ipn	76	the Greeks
cunnan	cuþan,	pret.pv	107	knew
cunnian	cunnade	pret.psv	52	experience
cwēn	cwēn	asn	102	queen
cynegōd	cynegōde	adj	56	well-born
cynerice	cynerica	gpn	39	king-realm
cyning	cyning.	gsn	34	king
cyning	cyning!	nsn	67	king
cyning	cyning	nsn	89	king
cynn	cynnes,	gsn	16	kin
cynn	cynne.	isn	27	tribe
cynn	cynn	asn	47	tribe
cyst	cystum	ipn	56	a choice gift
Dēan	Deanum	dpn	63	Deans
Dene	Denum;	dpn	35	the Danes
dohtor	dohtor	n	98	daughter
dōm	dōm	asn	140	reputation
dōm	dōm.	asn	143	glory
ðonan	ðonan	adv	109	thence
dryhtcwēn	dryhtcwēn	n	98	queen of the army
dugan	dohten.	pret.subj.pv	56	would be generous
dugan	dohte;	pret.sv	89	was generous
duguþ	duguþe,	gsn	98	a body of royal fighting men
duguþ	duguþe	dsn	140	royal military men
Eadgils	Eadgilse	dsn	93	Eadgils
Eadwine	Eadwines.	asn	74	of Edwin
Eadwine	Eadwines.	gsn	98	of Edwin
Eadwine	Eadwine	asn	117	Edwin
eal	ealra	adj	15	all
eal	ealra,	adj	36	of all
eal	ealle	asn	88	all
eal	ealne	asadj	109	all
eal	ealdne	adj	122	old
eal	eal	adj	141	all
Ealhhild	Ealhhild	nsn	97	Ealhhild
Ealhhilde	Ealhhilde,	dsn	5	Ealhhilde
eastan	eastan	adv	8	east
Eastgota	Eastgotan,	asn	113	Ostrogotha
Eastþyringas	Eastþyringum	dpn	86	Thuringians
Eatul	Eatule	dsn	70	Italy
Ebreas	Ebreum	dpn	83	the Hebrews
efeneald	efeneald	adj	40	contemporaries
Egypte	Egyptum.	dpn	83	the Egyptians
Elsa	Elsan,	asn	117	Elsa
Emerca	Emercan	asn	113	Emerca
Engle	Engle	asn	44	the Angles
Engle	Englum	dpn	61	the Angles
eorl	eorl	gpn	12	leader
eorlscipe	eorlscype	asn	37	manliness
eorlscipe	eorlscipe	nsn	40	manliness
eorlscipe	eorlscipe	nsn	141	noble behavior
Eormanrīc	Eormanrices,	gsn	8	Ermanric
Eormanrīc	Eormanric	nsn	18	Ermanric
Eormanrīc	Eormanrice	dsn	88	Ermanric
Eormanrīc	Earmanrices.	dsn	111	Ermanric
eorþe	eorþan,	asn	2	earth
Eowan	Eowum	dpn	26	the Eows
Exsyringas	Exsyringum,	dpn	82	the Assyrians
eþel	eðle	dsn	12	homeland
ēþel	ēþel,	asn	96	inherited land
ēþel	ēþel	asn	109	fatherland
ēþelstōl	ēþelstōl	asn	122	ancestral land
fæder	fæder	gsn	96	father's
fæder	fæder	asn	114	father
fæle	fælre	adj	6	gracious
fela	Fela	adj	10	many
fela	fela,	adj	50	many
fela	fela,	adj	99	many
fela	fela,	adj	136	many
feor	feor	adj	53	far
fēring	fēringe,	dsn	131	journeying
Fīfeldore	Fifeldore;	dsn	43	the Eider estuary
Fin	Fin	nsn	27	Fin
Finnas	Finnum,	dpn	20	the Finns
Finnas	Finnum	ipn	76	the Finns
flēogan	fleag	pret.sv	127	fly
flett	flette	dsn	3	great hall
folc	folca	gpn	3	tribe
Folcwalding	Folcwalding	nsn	27	son of Folcwalda
folde	foldan	asn	17	the earth
folgian	folgade	pret.sv	53	served
for	for	prep	104	before
forbīgan	forbīgdan,	pret.pv	48	humbled
forð	forð	adv	43	thenceforth
fore	fore	prep	55	before
fore	fore	prep	140	before
forgiefan	forgeaf	pret.sv	66	gave
forgiefan	forgeaf	pret.sv	90	gave
forgiefan	forgeaf	pret.sv	95	gave up
forgiefan	forgeaf	pret.sv	97	gave
forhēawan	forhēowan	pret.pv	49	cut to pieces
forma	forman	adj	6	first/foremost
forwrecan	forwrǣcon	pret.pv	47	drove off
forþon	Forþon	conj	54	therefore
frēa	frēa	n	96	king
fremde	fremdra	adj	50	foreign
fremman	fremede,	pret.sv	37	achieve
frēomǣgum	frēomǣgum	dpn	53	generous kinsmen
Freoþerīc	Freoþeric,	asn	124	Freoþeric
freoþuwebbe	freoþuwebban,	dsn	6	peace-weaver
Frēsan	Fresna	asn	27	the Frisian
Frēsan	Frysum	dpn	68	the Frisians
Fridla	Fridlan	asn	113	Fridla
frōd	frōdne	adj	114	wise
from	from	prep	4	from
Froncan	Froncum,	dpn	24	the Franks
Froncan	Froncum	ipn	68	the Franks
fruma	fruma,	n	90	first among
Frumtingas	Frumtingum.	dpn	68	the Framtings
ful	ful	adv	119	very
ful	Ful	adv	127	very
gar	gar	n	128	spear
Gēatas	Geatum	dpn	58	the Geats
gedāl	gedāles,	gsn	73	distributed
gedryht	gedryht	asn	118	company
Gefflēgan	Gefflegum.	dsn	60	The Gefflegans
gefrǣge	gefrǣge,	isn	71	information (got by inquiry).
gefricgan	gefrægen	ppn	17	learned (by asking)
gefrignan	gefrægn	pret.sv	10	learned (by asking)
Gefwulf	Gefwulf,	nsn	26	Gefwulf
Gefþan	Gefþum	dpn	60	The Gibids
gehealdan	gehealdenne,	gerund	134	holding
gehwylc	gehwylc	adj	11	each
gemǣran	gemǣrde	pret.sv	42	defined
gemētan	gemētað	v	138	met
geond	geond	prep	51	throughout
geond	geond	prep	99	throughout
geond	geond	prep	136	throughout
geondferan	geondferde;	pret.sv	3	travel over
geondfēran	geondfērde	pret.sv	50	traverse
geondhweorfan	geondhwearf	pret.sv	109	traverse
gesceap	gesceapum	ipn	135	fate
gescyrian	gescyred	ppv	92	reckoned
gesecan	gesohte	pret.sv	7	sought
gesīþ	gesīþa	apn	110	battle comrades
gesīþ	gesīþa	gpn	125	comrades in arms
geslean	geslog	psv	38	won
geslean	geslog	psv	44	won
geweald	geweald	asn	77	authority
gewyrcan	gewyrceð,	v	142	works
geþeon	geþeon	v	13	prosper
geþeon	geþah	pret.sv	16	throve
geþicgan	geþah	pret.sv	3	received
geþicgan	geþah;	pret.sv	65	receive
giefu	giefe	apn	102	gifts
giefu	geofum	ipn	139	gifts
giellan	giellende	verb	128	yelling
Gifica	Gifica.	nsn	19	Gifica
ginn	ginne	adj	51	wide
Gislhere	Gislhere,	asn	123	Gislaharius
glædlic	glædlicne	adj	66	goodly
glēaw	glēawne,	adj	139	appreciative
glēomonn	glēomen	npm	136	glee-man, minstrel
Glomman	Glommum.	dpn	21	the Glomman
Glomman	Glommum	dpn	69	the Glomman
God	God	n	133	God
gōd	Gōdes	nsn	51	good things
gōd	gōde	isn	89	good
gōd	gōdne	adj	114	good
gold	goldes,	gsn	91	gold
gold	golde	isn	129	gold
goldhroden	goldhrodene	adj	102	gold-adorned
Gotan	Gotum,	ipn	18	the Goths
Gotan	Gotena	gpn	89	the Goths
Gotan	Gotena,	gsn	109	of the Ostrogoths
grom	grome	adj	128	hostile
grund	grund.	asn	51	region
grund	grunda	gpn	136	region
Guðhere	Guðhere	nsn	66	Guðhere
guma	gumena	gpn	133	men's
guma	gumena	gpn	136	men
gydd	gydda	gpn	139	poem
habban	hæbbe.	psv	17	have
habban	hæfde	pret.sv	71	had
habban	hafað	psv	143	has
hæleþ	hæleþum	dpn	81	heroes
Hælsingas	Hælsingum,	ipn	22	Hælsings
Hætwere	Hætwerum	dpn	33	the Hætwere
hæþen	hæðnum	dpn	81	heathens
Hagena	Hagena	nsn	21	Hagen
ham	ham	asn	7	home
ham	ham	asn	94	home
Hama	Haman;	asn	124	Hama
Hama	Hama.	nsn	130	Hama
hāten	hāten	ppv	34	called
hē	hē	nsppn	3	he
hē	Him	asn	4	him
hē	He	nsppn	5	he
hē	his	gspn	13	his
hē	hē	nsppn	16	he
hē	hē	nsppn	37	he
hē	him	gsn	40	of him
hē	hit	asn	44	he
hē	hȳ	ppn	47	he
hē	hē	nsppn	95	he
hē	Hyre	gsn	99	her
hē	hī	npn	108	he
hē	hȳ	apn	126	he
hē	him	dsn	133	him
hē	hē	nsppn	134	he
Heaðobeardan	Heaðobeardna	gpn	49	Heathobards'
hēahfæst	hēahfæstne	adj	143	lasting
healdan	heoldon	pret.pv	43	held
healdan	heoldon	pret.pv	45	held
hēap	hēape	dsn	127	company
heard	heardum	adj	120	hard
hearpe	hearpan	dsn	105	harp
HeaÞoreamas	Heaþoreamum.	dpn	63	HeaÞoramas
Heaþoric	Heaþoric	asn	116	Heathoric
Heðca	Heðcan	asn	112	Hache
Helm	Helm	nsn	29	Helm
Heoden	Heoden	nsn	21	Heoden
heofon	heofonum	dpn	143	the heavens
Heorot	Heorote	dsn	49	Heorot
heorte	heortan	asn	73	heart
hēr	hēr	nsn	134	here
here	here	nsn	120	army
Herefaran	Herefarena	gpn	34	the Herefaren's
Herelingas	Herelingas,	apn	112	Herelingas
hlēodryhten	hlēodryhtne,	dsn	94	lord protector
hlēoþor	hlēoþor	n	105	song
Hlīþe	Hliþe	asn	116	Lotherus
hlude	hlude	adv	105	loudly
Hnæf	Hnæf	nsn	29	Hnæf
Hocingas	Hocingum,	dpn	29	the Hocings
Holen	Holen	nsn	33	Holen
Holmrygas	Holmrygum	dpn	21	the Rugians
hond	hond	asn	72	hand
Hræde	Hræda	gsn	120	Hræde
Hreðcyning	Hreðcyninges	gsn	7	King of the Ostrogoths
Hreðgotan	Hreðgotum,	dpn	57	Ostrogoths
hring	hringa	gpn	73	rings
Hringwald	Hringweald	nsn	34	Hringwald
Hroðgar	Hroðgar	nsn	45	Hroðgar
Hronan	Hronum	dpn	63	Hronan
Hroþwulf	Hroþwulf	nsn	45	Hroþwulf
hū	hū	adv	56	how
Hun	Hun	nsn	33	Hunn
Hunas	Hunum,	ipn	18	the Huns
Hunas	Hunum	dpn	57	The Huns
hund	hund	num	91	hundred
Hundingas	Hundingum.	dpn	23	the Hundings
Hundingas	Hundingum.	dpn	81	the Hundings
Hungar	Hungar,	asn	117	Hungar
hwær	hwær	adv	101	where
hwæþre	hwæþre	adv	37	however
Hwala	Hwala	nsn	14	Hwala
hweorfan	hweorfað	ppv	135	roved
hwil	hwile	asn	14	a while
hwīnan	hwīnende	ppv	127	whining
hȳran	hȳrdon.	pret.pv	108	heard
ic	ic	pn	10	I
ic	ic	pn	17	I
ic	ic	pn	50	I
ic	ic	pn	52	I
ic	ic	pn	54	I
ic	ic	pn	57	I
ic	ic	pn	59	I
ic	ic	pn	60	I
ic	ic	pn	61	I
ic	ic	pn	62	I
ic	ic	pn	63	I
ic	ic	pn	64	I
ic	ic	pn	65	I
ic	ic	pn	68	I
ic	ic	pn	69	I
ic	ic	pn	70	I
ic	ic	pn	75	I
ic	ic	pn	76	I
ic	ic	pn	79	I
ic	ic	pn	80	I
ic	ic	pn	82	I
ic	ic	pn	84	I
ic	ic	pn	86	I
ic	ic	pn	88	I
ic	ic	pn	93	I
ic	ic	pn	94	I
ic	ic	pn	100	I
ic	ic	pn	101	I
ic	ic	pn	109	I
ic	ic	pn	110	I
ic	ic	pn	112	I
ic	ic	pn	113	I
ic	ic	pn	115	I
ic	ic	pn	117	I
ic	ic	pn	119	I
ic	ic	pn	123	I
ic	ic	pn	126	I
ic	ic	pn	131	I
Idumingas	Idumingum.	dpn	87	Idumings
Ilwan	Eolum	dpn	87	the Ilwan
in	in	prep	55	in
Incgenþeow	Incgenþeow.	asn	116	Incgenþeow
Indeas	Indeum	dpn	83	THe Hindus
Ingeld	Ingeldes	gsn	48	Ingeld
innweorud	innweorud	n	111	native peoples
Israhelas	Israhelum	dpn	82	the Israelites
Iste	Istum	dpn	87	the Austrogoths
lēan	lēane.	dsn	67	reward
lēan	lēane,	dsn	95	reward
lengan	lengest	adv	28	longest
lengan	lengde	pret.sv	99	stretched
lengest	lengest	adv	45	longest
lēod	lēodum.	dpn	122	people
lēof	lēofum	adj	95	dear
lēof	lēofast	adv	132	dearest
lēoht	lēohteste	adj	72	lightest
lēoht	lēoht	nsn	142	light
Leonas	Leonum	dpn	80	the Leonas
Lidwicingas	Lidwicingum	dpn	80	the Lidwiccas
līf	līf	nsn	142	life
lifgan	lifgan,	v	11	live
lifgan	leofað.	psv	134	lives
lof	lofes	gsn	72	praise
lof	lof	asn	99	praise
lof	lof	asn	142	praise
lond	londa	gpn	50	lands
lond	londa	gpn	99	lands
londbūend	londbūendum	dpn	132	subjects
Longbeardan	Longbeardum,	dpn	32	the Langobards
Longbeardum	Longbeardum,	dpn	80	The Langobards
longd	lond	asn	95	land
maðelian	maðolade,	pret.sv	1	spoke
mægþ	mǣgþum	ipn	10	tribe
mǣgþ	mǣgþa	gpn	2	people
mǣnan	mǣnan	v	55	make known
mæst	mǣst	adj	2	most
mæst	mǣst	adj	16	most
mæst	mǣst.	adj	39	greatest
magan	mæg	psv	54	will
māra	māran	adj	40	more
māþþum	māþþum.	asn	4	treasure/gift
māþþum	māþþum	asn	66	treasure
me	me	dsppn	56	me
me	me	dsppn	66	me
me	me	dsppn	89	me
me	me	dsppn	90	me
me	me	dsppn	95	me
me	me	dsppn	97	me
Meaca	Meaca	nsn	23	Meaca
Mearchealf	Mearchealf	nsn	23	Mearchealf
mengo	mengo	dsn	55	company
meoduheall	meoduhealle	dsn	55	mead-hall
merc	merce	asn	42	boundary
