Lemma	form	POS	Gloss
á-nihst	ánihst	adv	at the last
ac	ac	conj	but
æfnan	æfnan,	v	practice
æfter	æfter	prep	after
Ægelmund	Ægelmund	asn	Agelmund
ǣht	ǣht	asn	possession
Ælfwine	Ælfwine,	dsn	Ælfwine
Ænēnas	Ænēnum.	dpn	Ænēnas
ærest	ærest	adj	first
æt	æt	prep	at
Ætla	Ætla	apn	Atilla
Ætla	Ætlan	gsn	Atilla's
ætsomne	ætsomne	adv	together
æþelo	æþele	npn	noble
āgan	āhte,	pret.sv	possesed
āhebban	āhofan,	pret.pv	raised
Alewih	Alewih	nsn	Alewih
Alexandreas	Alexandreas	nsn	Alexander
ālicgan	ālæg,	pret.sv	rest
Amoþingas	Amothingum.	dpn	the Amothings
āne	Āne	isn	one
ārǽran	ārǽran,	v	to heighten
Baningas	Baningum,	dpn	the Baningas
Beadeca	Beadecan	asn	Beadecan
bēag	bēag	asn	necklace
bēag	bēaga,	gpn	treasures
bēag	bēag	asn	treasure
bearn	bearn	nsn	child
Becca	Becca	nsn	Becca
Becca	Beccan,	asn	Becca
bēon	biþ	pres.v	be
beorht	beorhtra	gpadj	bright
bī	bī	prep	by
bī	be	prep	with
bī	bī	prep	with
bicuman	bicwom,	pret.sv	came
bidǽlan	bidǽled,	ppv	deprived of
Billing	Billing	nsn	Billing
Breoca	Breoca	nsn	Breoca
Brondingas	Brondingum,	dpn	Brondings
bryttian	bryttian.	v	distribute
Burgendan	Burgendum	dpn	the Burgundians
Burgendan	Burgendum,	ipn	the Burgundians
burgwaran	burgwarena	gpn	townspeople
Cælic	Cælic	nsn	Caelic
Casere	Casere	nsn	Caesar
Casere	Casere,	dsn	Caesar
cnihtwesende	cnihtwesende,	pp	being a youth
cnōsl	cnōsle	dsn	kindred
Creacas	Creacum	dpn	the Greeks
Creacas	Creacum	ipn	the Greeks
cunnan	cuþan,	pret.pv	knew
cunnian	cunnade	pret.psv	experience
cwēn	cwēn	asn	queen
cynegōd	cynegōde	adj	well-born
cynerice	cynerica	gpn	king-realm
cyning	cyning.	gsn	king
cyning	cyning!	nsn	king
cyning	cyning	nsn	king
cynn	cynnes,	gsn	kin
cynn	cynne.	isn	tribe
cynn	cynn	asn	tribe
cyst	cystum	ipn	a choice gift
Dēan	Deanum	dpn	Deans
Dene	Denum;	dpn	the Danes
dohtor	dohtor	n	daughter
dōm	dōm	asn	reputation
dōm	dōm.	asn	glory
ðonan	ðonan	adv	thence
dryhtcwēn	dryhtcwēn	n	queen of the army
dugan	dohten.	pret.subj.pv	would be generous
dugan	dohte;	pret.sv	was generous
duguþ	duguþe,	gsn	a body of royal fighting men
duguþ	duguþe	dsn	royal military men
Eadgils	Eadgilse	dsn	Eadgils
Eadwine	Eadwines.	asn	of Edwin
Eadwine	Eadwines.	gsn	of Edwin
Eadwine	Eadwine	asn	Edwin
eal	ealra	adj	all
eal	ealra,	adj	of all
eal	ealle	asn	all
eal	ealne	asadj	all
eal	ealdne	adj	old
eal	eal	adj	all
Ealhhild	Ealhhild	nsn	Ealhhild
Ealhhilde	Ealhhilde,	dsn	Ealhhilde
eastan	eastan	adv	east
Eastgota	Eastgotan,	asn	Ostrogotha
Eastþyringas	Eastþyringum	dpn	Thuringians
Eatul	Eatule	dsn	Italy
Ebreas	Ebreum	dpn	the Hebrews
efeneald	efeneald	adj	contemporaries
Egypte	Egyptum.	dpn	the Egyptians
Elsa	Elsan,	asn	Elsa
Emerca	Emercan	asn	Emerca
Engle	Engle	asn	the Angles
Engle	Englum	dpn	the Angles
eorl	eorl	gpn	leader
eorlscipe	eorlscype	asn	manliness
eorlscipe	eorlscipe	nsn	manliness
eorlscipe	eorlscipe	nsn	noble behavior
Eormanrīc	Eormanrices,	gsn	Ermanric
Eormanrīc	Eormanric	nsn	Ermanric
Eormanrīc	Eormanrice	dsn	Ermanric
Eormanrīc	Earmanrices.	dsn	Ermanric
eorþe	eorþan,	asn	earth
Eowan	Eowum	dpn	the Eows
Exsyringas	Exsyringum,	dpn	the Assyrians
eþel	eðle	dsn	homeland
ēþel	ēþel,	asn	inherited land
ēþel	ēþel	asn	fatherland
ēþelstōl	ēþelstōl	asn	ancestral land
fæder	fæder	gsn	father's
fæder	fæder	asn	father
fæle	fælre	adj	gracious
fela	Fela	adj	many
fela	fela,	adj	many
fela	fela,	adj	many
fela	fela,	adj	many
feor	feor	adj	far
fēring	fēringe,	dsn	journeying
Fīfeldore	Fifeldore;	dsn	the Eider estuary
Fin	Fin	nsn	Fin
Finnas	Finnum,	dpn	the Finns
Finnas	Finnum	ipn	the Finns
flēogan	fleag	pret.sv	fly
flett	flette	dsn	great hall
folc	folca	gpn	tribe
Folcwalding	Folcwalding	nsn	son of Folcwalda
folde	foldan	asn	the earth
folgian	folgade	pret.sv	served
for	for	prep	before
forbīgan	forbīgdan,	pret.pv	humbled
forð	forð	adv	thenceforth
fore	fore	prep	before
fore	fore	prep	before
forgiefan	forgeaf	pret.sv	gave
forgiefan	forgeaf	pret.sv	gave
forgiefan	forgeaf	pret.sv	gave up
forgiefan	forgeaf	pret.sv	gave
forhēawan	forhēowan	pret.pv	cut to pieces
forma	forman	adj	first/foremost
forwrecan	forwrǣcon	pret.pv	drove off
forþon	Forþon	conj	therefore
frēa	frēa	n	king
fremde	fremdra	adj	foreign
fremman	fremede,	pret.sv	achieve
frēomǣgum	frēomǣgum	dpn	generous kinsmen
Freoþerīc	Freoþeric,	asn	Freoþeric
freoþuwebbe	freoþuwebban,	dsn	peace-weaver
Frēsan	Fresna	asn	the Frisian
Frēsan	Frysum	dpn	the Frisians
Fridla	Fridlan	asn	Fridla
frōd	frōdne	adj	wise
from	from	prep	from
Froncan	Froncum,	dpn	the Franks
Froncan	Froncum	ipn	the Franks
fruma	fruma,	n	first among
Frumtingas	Frumtingum.	dpn	the Framtings
ful	ful	adv	very
ful	Ful	adv	very
gar	gar	n	spear
Gēatas	Geatum	dpn	the Geats
gedāl	gedāles,	gsn	distributed
gedryht	gedryht	asn	company
Gefflēgan	Gefflegum.	dsn	The Gefflegans
gefrǣge	gefrǣge,	isn	information (got by inquiry).
gefricgan	gefrægen	ppn	learned (by asking)
gefrignan	gefrægn	pret.sv	learned (by asking)
Gefwulf	Gefwulf,	nsn	Gefwulf
Gefþan	Gefþum	dpn	The Gibids
gehealdan	gehealdenne,	gerund	holding
gehwylc	gehwylc	adj	each
gemǣran	gemǣrde	pret.sv	defined
gemētan	gemētað	v	met
geond	geond	prep	throughout
geond	geond	prep	throughout
geond	geond	prep	throughout
geondferan	geondferde;	pret.sv	travel over
geondfēran	geondfērde	pret.sv	traverse
geondhweorfan	geondhwearf	pret.sv	traverse
gesceap	gesceapum	ipn	fate
gescyrian	gescyred	ppv	reckoned
gesecan	gesohte	pret.sv	sought
gesīþ	gesīþa	apn	battle comrades
gesīþ	gesīþa	gpn	comrades in arms
geslean	geslog	psv	won
geslean	geslog	psv	won
geweald	geweald	asn	authority
gewyrcan	gewyrceð,	v	works
geþeon	geþeon	v	prosper
geþeon	geþah	pret.sv	throve
geþicgan	geþah	pret.sv	received
geþicgan	geþah;	pret.sv	receive
giefu	giefe	apn	gifts
giefu	geofum	ipn	gifts
giellan	giellende	verb	yelling
Gifica	Gifica.	nsn	Gifica
ginn	ginne	adj	wide
Gislhere	Gislhere,	asn	Gislaharius
glædlic	glædlicne	adj	goodly
glēaw	glēawne,	adj	appreciative
glēomonn	glēomen	npm	glee-man, minstrel
Glomman	Glommum.	dpn	the Glomman
Glomman	Glommum	dpn	the Glomman
God	God	n	God
gōd	Gōdes	nsn	good things
gōd	gōde	isn	good
gōd	gōdne	adj	good
gold	goldes,	gsn	gold
gold	golde	isn	gold
goldhroden	goldhrodene	adj	gold-adorned
Gotan	Gotum,	ipn	the Goths
Gotan	Gotena	gpn	the Goths
Gotan	Gotena,	gsn	of the Ostrogoths
grom	grome	adj	hostile
grund	grund.	asn	region
grund	grunda	gpn	region
Guðhere	Guðhere	nsn	Guðhere
guma	gumena	gpn	men's
guma	gumena	gpn	men
gydd	gydda	gpn	poem
habban	hæbbe.	psv	have
habban	hæfde	pret.sv	had
habban	hafað	psv	has
hæleþ	hæleþum	dpn	heroes
Hælsingas	Hælsingum,	ipn	Hælsings
Hætwere	Hætwerum	dpn	the Hætwere
hæþen	hæðnum	dpn	heathens
Hagena	Hagena	nsn	Hagen
ham	ham	asn	home
ham	ham	asn	home
Hama	Haman;	asn	Hama
Hama	Hama.	nsn	Hama
hāten	hāten	ppv	called
hē	hē	nsppn	he
hē	Him	asn	him
hē	He	nsppn	he
hē	his	gspn	his
hē	hē	nsppn	he
hē	hē	nsppn	he
hē	him	gsn	of him
hē	hit	asn	he
hē	hȳ	ppn	he
hē	hē	nsppn	he
hē	Hyre	gsn	her
hē	hī	npn	he
hē	hȳ	apn	he
hē	him	dsn	him
hē	hē	nsppn	he
Heaðobeardan	Heaðobeardna	gpn	Heathobards'
hēahfæst	hēahfæstne	adj	lasting
healdan	heoldon	pret.pv	held
healdan	heoldon	pret.pv	held
hēap	hēape	dsn	company
heard	heardum	adj	hard
hearpe	hearpan	dsn	harp
HeaÞoreamas	Heaþoreamum.	dpn	HeaÞoramas
Heaþoric	Heaþoric	asn	Heathoric
Heðca	Heðcan	asn	Hache
Helm	Helm	nsn	Helm
Heoden	Heoden	nsn	Heoden
heofon	heofonum	dpn	the heavens
Heorot	Heorote	dsn	Heorot
heorte	heortan	asn	heart
hēr	hēr	nsn	here
here	here	nsn	army
Herefaran	Herefarena	gpn	the Herefaren's
Herelingas	Herelingas,	apn	Herelingas
hlēodryhten	hlēodryhtne,	dsn	lord protector
hlēoþor	hlēoþor	n	song
Hlīþe	Hliþe	asn	Lotherus
hlude	hlude	adv	loudly
Hnæf	Hnæf	nsn	Hnæf
Hocingas	Hocingum,	dpn	the Hocings
Holen	Holen	nsn	Holen
Holmrygas	Holmrygum	dpn	the Rugians
hond	hond	asn	hand
Hræde	Hræda	gsn	Hræde
Hreðcyning	Hreðcyninges	gsn	King of the Ostrogoths
Hreðgotan	Hreðgotum,	dpn	Ostrogoths
hring	hringa	gpn	rings
Hringwald	Hringweald	nsn	Hringwald
Hroðgar	Hroðgar	nsn	Hroðgar
Hronan	Hronum	dpn	Hronan
Hroþwulf	Hroþwulf	nsn	Hroþwulf
hū	hū	adv	how
Hun	Hun	nsn	Hunn
Hunas	Hunum,	ipn	the Huns
Hunas	Hunum	dpn	The Huns
hund	hund	num	hundred
Hundingas	Hundingum.	dpn	the Hundings
Hundingas	Hundingum.	dpn	the Hundings
Hungar	Hungar,	asn	Hungar
hwær	hwær	adv	where
hwæþre	hwæþre	adv	however
Hwala	Hwala	nsn	Hwala
hweorfan	hweorfað	ppv	roved
hwil	hwile	asn	a while
hwīnan	hwīnende	ppv	whining
hȳran	hȳrdon.	pret.pv	heard
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
ic	ic	pn	I
Idumingas	Idumingum.	dpn	Idumings
Ilwan	Eolum	dpn	the Ilwan
in	in	prep	in
Incgenþeow	Incgenþeow.	asn	Incgenþeow
Indeas	Indeum	dpn	THe Hindus
Ingeld	Ingeldes	gsn	Ingeld
innweorud	innweorud	n	native peoples
Israhelas	Israhelum	dpn	the Israelites
Iste	Istum	dpn	the Austrogoths
lēan	lēane.	dsn	reward
lēan	lēane,	dsn	reward
lengan	lengest	adv	longest
lengan	lengde	pret.sv	stretched
lengest	lengest	adv	longest
lēod	lēodum.	dpn	people
lēof	lēofum	adj	dear
lēof	lēofast	adv	dearest
lēoht	lēohteste	adj	lightest
lēoht	lēoht	nsn	light
Leonas	Leonum	dpn	the Leonas
Lidwicingas	Lidwicingum	dpn	the Lidwiccas
līf	līf	nsn	life
lifgan	lifgan,	v	live
lifgan	leofað.	psv	lives
lof	lofes	gsn	praise
lof	lof	asn	praise
lof	lof	asn	praise
lond	londa	gpn	lands
lond	londa	gpn	lands
londbūend	londbūendum	dpn	subjects
Longbeardan	Longbeardum,	dpn	the Langobards
Longbeardum	Longbeardum,	dpn	The Langobards
longd	lond	asn	land
maðelian	maðolade,	pret.sv	spoke
mægþ	mǣgþum	ipn	tribe
mǣgþ	mǣgþa	gpn	people
mǣnan	mǣnan	v	make known
mæst	mǣst	adj	most
mæst	mǣst	adj	most
mæst	mǣst.	adj	greatest
magan	mæg	psv	will
māra	māran	adj	more
māþþum	māþþum.	asn	treasure/gift
māþþum	māþþum	asn	treasure
me	me	dsppn	me
me	me	dsppn	me
me	me	dsppn	me
me	me	dsppn	me
me	me	dsppn	me
me	me	dsppn	me
Meaca	Meaca	nsn	Meaca
Mearchealf	Mearchealf	nsn	Mearchealf
mengo	mengo	dsn	company
meoduheall	meoduhealle	dsn	mead-hall
merc	merce	asn	boundary
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mid	mid	prep	with
mīn	mīne	adj	my
mīn	mīnum	adj	my
mīn	mīnes	adj	my
mōd	mōdum	ipn	spirits
mōdig	mōdgast	adj	noblest
Mofdingas	Mofdingum	dpn	Mofdings
Moide	Moidum	dpn	the Moids
moncynn	moncynnes,	gsn	mankind
monig	monige	adj	many
monn	monna	gpn	men
monn	monna	gpn	men
monn	monna	gpn	men
monn	manna	gpn	men
monn	monna,	gpn	men
monn	men,	npn	men
mynelīc	mynelīcne	adj	handsome
Myrging	Myrgingum	dpn	the Myrgings
Myrgingas	Myrgingum,	dpn	the Myrgings
Myrgingas	Myrgingum	dpn	the Myrgings
Myrgingas	Myrgingum,	dpn	the Myrgings
Myrgingas	Myrginga.	gpn	of the Myrgings
nǣfre	nǣfre	adv	never
nænig	Nænig	pn	Not any
ne	ne	negative	not
ne	ne	negative	not
ne	ne	negative	not
nemnan	nemnan	v	name
nō	nō	adv	not at all
None	a	None	None
norþ	norð	adv	north
nsn	Ongendþeow,	Ongendþeow	Ongenþeow
of	of	prep	from
of	of	prep	from
ofer	ofer	prep	over
ofer	ofer	prep	over
ofer	ofer	prep	more than
Offa	Offa	nsn	Offa
Offa	Offan	dsn	Offa
Offa	Offa	asn	Offa
Offa	Offa	asn	Offa
oft	oft	adv	often
oft	oft	adv	often
oft	oft	adv	often
on	on	prep	in
on	on	prep	in
on	on	prep	in
on	on	prep	in
on	on	prep	in
on	on	prep	in
on	on	prep	in
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
ond	ond	conj	and
onfindan	onfond	pret.sv	found out
Ongel	Ongle,	dpn	the Angles land
Ongel	Ongle,	dpn	the Angles
Ongendmyrgingas	Ongendmyrgingum	dpn	the Ongendmyrgings
onginnan	Ongon	pret.sv	began
onlūcan	onleac,	pret.sv	unlocked
ord	ord	asn	vanguard
ōrettan	ōrette.	pret.sv	fighting
Oswine	Oswine	nsn	Oswin
oþ þæt	oþþæt	conj	until
oþer	oþrum	dpn	others
ōþer	ōþerne	num	second
oþþe	oþþe	conj	or
Peohtas	Peohtum	dpn	the Picts
Perse	Persum	dpn	the Perse
rædan	rædan,	v	govern
Rædhere	Rædhere	asn	Rædhere
reord	reorde	gsn	voice
rice	ricost	adj	powerful
rīce	rīces.	gsn	realm
rīce	rīce	asn	rule
Rondhere	Rondhere,	asn	Rondhere
Rondingas	Rondingum,	dpn	The Rondings
Rugas	Rugum	dpn	the Rugi
Rumstan	Rumstan	asn	Rumstan
Rumwalas	Rumwalum.	dpn	Rome-foreigners
Sæ-dene	Sæ-denum	dpn	the Sea-Danes
Sæferð	Sæferð	nsn	Sæferð
sǣmest	sǣmestan,	adj	worst
sǣne	sǣne	adj	stingy
scacan	scæceð,	pres.sv	pass
Sceafa	Sceafa	nsn	Sheaf
Sceafthere	Sceafthere	nsn	Sceafthere
sceatt	sceatta	gpn	denarii
Scilling	Scilling	nsn	Scilling
scillingrīm	scillingrīme;	dsn	shilling count
scīr	scīran	adj	clear
Scottas	Scottum	dpn	the Irish
Scridefinnas	Scridefinnum;	dpn	The Lapps
scrīþan	scrīþende	participle	wandering
sculan	Sceal	pres.sv	Shall
sculan	sceolde	pret.sv	would
sculan	sceoldon	pret.pv	shall
sculan	sceolde.	pret.sv	should
se	se	dpn	that
se	se	dem.pn	that
se	se	dem.pn	that
se	se	dem.pn	that
se	se	dem.pn	that
se	se	dem.pn	that
se	se	dem.pn	that
se	se	dem.pn	that
se	se	dem.pn	that
se	se	dem.pn	that
sē	þāra	gpn	that
sē	þāra	gpn	that
sē	þāra	gpn	those
sē	þām	dspn	that
sē	þone	aspn	that
sē	þa	nppn	they
sē	þa	art	the
sē	þæt	nsn	that
sē	þā	asn	the
sē	þæt	aspn	that
sē	þa	npart	the
sē	þām	adj	that
sē	þæt	asn	that
sē	þære	adj	that
Seafola	Seafolan	asn	Seafola
Seaxan	Seaxum	dpn	the Saxons
sēcan	sōhte	pret.sv	sought
sēcan	sōhte	pret.sv	sought
sēcan	sōhte	pret.sv	sought
sēcan	sōhte	pret.sv	sought
sēcan	sōhte	pret.sv	sought
sēcan	sōhte	pret.sv	sought
sēcan	sōhte	pret.sv	sought
Secca	Seccan	asn	Secca
secgan	secgan	v	speak
secgan	secgan	v	say
secgan	secgað,	pres.pv	says
sel	selast,	adj	best
sēl	sēlast	adj	best
sēl	sēllan	adj	good
sēl	sēlestan;	art	best
Sercingas	Sercingum	dpn	the Sercings
Seringas	Seringum;	dpn	the Serae
sibb	sibbe	gsn	kinship
siex	siex	num	six
Sifeca	Sifecan,	asn	Sifeca
sigedryhten	sigedryhtne	dsn	victory-lord
Sigehere	Sigehere	nsn	Sighere
simle	symle	adv	always
simle	simle	adv	always
singan	singan	v	sing
sīþ	sīþe	isn	going/journey
siþþan	siþþan	conj	after he
sīþþan	sīþþan	adv	afterwards
smǣte	smǣtes	adj	refined
somod	somod;	adv	together
song	songes	gsn	song
song	songe	dsn	song
song	song	asn	song
song	song	asn	a song
spell	spell,	asn	tale
sprecan	sprecan:	pret.pv	speaking
sprecan	sprēcan,	pret.sv	spoke
sprecan	sprecaþ,	pres.pv	speaking
sūð	sūð	adv	south
suhtorfædran	suhtorfædran,	npn	nephew and uncle
sum	sumne	aspn	some one
Suþ-dene	Suþ-denum.	dpn	the south-Danes
swā	swā	conj	as
swā	Swā	conj	as
swā	Swā	adv	thus
swā	Swā	conj	as
Swæfe	Swæfum,	dpn	Swæfe
Swæfe	Swæfe,	asn	the Suebi
Swæfe	Swæfum	dpn	Swæfe
swegl	swegle	dsn	sky
Sweon	Sweom	dpn	Swedes
Sweon	Sweom	dpn	Swedes
sweord	sweorde	isn	sword
sweord	sweordum	ipn	swords
Sweordwere	Sweordwerum.	dpn	Suardones
swinsian	swinsade,	pret.sv	sing out
swylce	Swylce	adv	likewise
Sycga	Sycgum	dpn	the Sycgans
Sycgan	Sycgum,	dpn	Sycgan
syllan	sealde,	pret.sv	gave
syllan	syleð	pres.sv	give
to	to	prep	to
to	to	prep	to
to	to	prep	to
to	to	prep	to
to	to	prep	to
uncer	uncrum	adj	our two
under	under	prep	under
under	under	prep	under
unhnēaw	unhnēaweste	adj	generous
unhnēaw	unhnēawne,	adj	generous
Unwen	Unwenes.	gsm	of Unwen
Wada	Wada	nsn	Wada
wæcnan	onwocon.	pret.pv	awoke
wærloga	wærlogan.	dpn	oath-breaker
Wærne	Wærnum	dpn	the Varni
Walas	Wala	gpn	Roman's
Wald	Wald	nsn	Wald
wealdan	wealdan!	pret.sv	rule
wealdan	weold	psv	ruled
wealdan	weold	psv	ruled
wealdan	weold	psv	ruled
wealdan	weold	psv	ruled
wealdan	weold	psv	ruled
wealdan	weold,	psv	ruled
wealdan	weold	psv	ruled
wealdan	weold	ppv	ruled
wēl	wēl	adv	well
Wenlas	Wenlum	dpn	Wenlas
wer	werum	ipn	men
wergan	wergan	v	defend
Wern	Wernum.	dpn	the Werns
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	Næs	psv	was not
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	was
wesan	wæs	psv	were
wesan	wæran	ppv	were
wicingas	wicinga	gpn	the Wicing
Wicingas	wicingum.	dpn	the Wicings
wið	wið	prep	against
wīde	wīde.	adv	widely
Widsið	Widsið	nsn	Widsith
wīf	wīfum,	ipn	women
wig	wig	nsn	warfare
willa	wilna,	gpn	desirable things
willan	wile.	pret.sv	will
willan	wile	pres.sv	will
wīnburg	wīnburga	gpn	wine-borough
windan	wundnan	past participle v	wound
Winedas	Winedum	dpn	Winedas
wiola	wiolena	gpn	riches
Wistlawudu	Wistlawudu	gpn	The Wistle wood
wit	wit	pn	we two
witan	wisse	pret.sv	knew
Witta	Witta	nsn	Witta
Wiþergield	Wiþergield	asn	Wiþergield
Wiþmyrgingas	Wiþmyrginga.	gpn	the Wiþmyrgings
wlonc	wlonce,	adj	proud
wlonc	wloncan	adj	proud
Wod	Wod	nsn	Wod
Woingas	Woingum,	dpn	the Woings
word	wordum	ipn	words
wordhord	wordhord	as	wordhoard/vocabulary
worn	worn	asn	a great number (of words)
wræcca	wræccan	npn	wanderers
wraþ	wraþes	adj	hostile
Wrosnan	Wrosnum.	dpn	Wrosnan
Wudga	Wudgan	asn	Wudga
Wudga	Wudga	nsn	Wudga
Wulfhere	Wulfhere	asn	Wulfhere
Wulfingas	Wulfingum,	dpn	the Wulfings
wyrcan	wyrcenne,	dsn	earning
Wyrmhere	Wyrmhere;	asn	Wyrmhere
yfel	yfles	gsn	evil things
ymb	ymb	prep	about
Yte	Ytum	dpn	the Jutes
Yumbran	Ymbrum,	dpn	the Ymbran
þa	þa	adv	then
þā	þa	conj	when
þā	þā	adv	then
þǣr	þǣr	adv	there
þǣr	þǣr	adv	there
þǣr	þǣr	adv	there
þǣr	þǣr	adv	there
þǣr	þǣr	adv	there
þǣr	þǣr	adv	there
þæs	þæs	conj	because
þæt	þæt	conj	that
þæt	þæt	conj	that
þǣt	þǣt	nsn	that
þe	þe	rpn	that
þe	þe	in	who
þe	þe	in	who
þe	þe	in	who
þe	þe	in	who
þe	þe	in	who
þe	þe	in	who
þe	þe	in	who
þe	þe	in	who
þēah	þēah	conj	although
þearf	þearfe	asn	need
þeaw	þeawum	dpn	good custom
þenden	þenden	conj	while
þeod	þeodna	npn	men
þēod	þēode;	asn	band
þeodenstol	þeodenstol	n	king-stool
þeodric	þeodric	nsn	Theodric
þeodric	þeodric,	asn	Theodric
þoncword	þoncword	apn	thank-words
þonne	þonne	conj	when
þonne	Ðonne	conj	then
þonne	þonne	adv	then
þonne	þonne	conj	when
þrāg	þrāge,	asn	time
Þrowend	Þrowendum,	dpn	Þrowend
þrym	þrym.	asn	force
Þyle	Þyle	nsn	Thyle
Þyringas	Þyringum,	dpn	the Thuringians
Þyringas	Þyringum	dpn	the Thuringians
